Constituency,Elected MP[6],Elected Party,Majority,Previous MP[7],Previous Party
Odotobri,Anthony Mmieh,NPP,,Emmanuel Akwasi Gyamfi,NPP
Offinso North,Fred Kyei Asamoah,NPP,,Augustine Collins Ntim,NPP
Offinso South,Asare Bediako Vincent[18][19],NDC,,Isaac Yaw Opoku,NPP
Oforikrom,Michael Kwasi Aidoo,NPP,,Emmanuel Marfo,NPP
Old Tafo,Vincent Ekow Assafuah,NPP,,Vincent Ekow Assafuah,NPP
Sekyere Afram Plains,Nasira Afrah Gyekye,NDC,,Alex Adomako-Mensah,NDC
Suame,John Darko,NPP,,Osei Kyei Mensah Bonsu,NPP
Subin,Kofi Obiri Yeboah,NPP,,Eugene Boakye Antwi,NPP
Banda Ahenkro,Ahmed Ibrahim[22],NDC,,Ahmed Ibrahim,NDC
Berekum East,Simon Ampaabeng Kyeremeh[23],NDC,,Nelson Kyeremeh,NPP
Berekum West,Dickson Kyere-Duah[24],NDC,,Kwaku Agyenim-Boateng,NPP
Dormaa Central,John Kwame Adu Jack[25],NDC,,Kwaku Agyeman-Manu,NPP
Dormaa East,Owusuah Rachel Amma,NDC,,Paul Apreku Twum Barimah,NPP
Dormaa West,Vincent Oppong Asamoah[26],NDC,,Vincent Oppong Asamoah,NDC
Jaman North,Frederick Yaw Ahenkwah,NDC,,Frederick Yaw Ahenkwah,NDC
